date,session,type,duration_min,distance_km,vert_m,surface,structure,zone,phase,block,notes
2027-08-23,Easy aerobic,Easy,15,2.6,,road,,Z2,2,Taper 2 — coiled spring,Genuinely easy — this is where the engine grows.
2027-08-24,Race-effort primer 3×3 min climb + descent,Simulation,45,6,135,fell,WU 15min Z2 | 3x3min Z4 r3m | CD 10min Z2,Z4,2,Taper 2 — coiled spring,"Short, sharp, confident. Stop while it feels brilliant."
2027-08-25,Easy aerobic spin,Bike,50,,,bike,,Z1,2,Taper 2 — coiled spring,Engine volume the legs don't pay for.
2027-08-26,Easy,Easy,15,2.6,,road,,Z2,2,Taper 2 — coiled spring,
2027-08-27,Rest day,Rest,,,,,,,2,Taper 2 — coiled spring,
2027-08-28,Long mountain run,Long,70,8.8,495,fell,,Z2,2,Taper 2 — coiled spring,"Time on feet over terrain — hike the steep stuff, eat every 40 min."
2027-08-29,Easy fell wander,Easy,25,3.3,270,fell,,Z2,2,Taper 2 — coiled spring,
2027-08-30,Easy 30 + 4 strides,Easy,30,5.2,,road,,Z2,2,RACE WEEK,"Legs ticking over, nothing more."
2027-08-31,Rest,Rest,,,,,,,2,RACE WEEK,
2027-09-01,Race-effort primer 4×90s climb,Simulation,35,4.5,200,fell,WU 15min Z2 | 4x90s Z4 r2m | CD 8min Z2,Z4,2,RACE WEEK,"Final touch of race effort. Crisp, then stop."
2027-09-02,Rest or 20 min walk,Rest,,,,,,,2,RACE WEEK,
2027-09-03,Easy 20 + 3 strides,Easy,20,3.4,,road,,Z2,2,RACE WEEK,"Shakeout. Kit ready, route studied."
2027-09-04,A-RACE — target fell championship race,Race,,16,1500,fell,,Cat AM,2,RACE WEEK,Placeholder — swap in your chosen championship race. A year of work lands today. Empty the tank.
2027-09-05,Rest — it's done,Rest,,,,,,,2,RACE WEEK,Recovery starts the next year. Log the result on the Progress tab.
